Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.2.2\experiments\Hara\20210513_Setdb2KO_Lung_Hara.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-05-13 14:31:33 PM GMT+09:00,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C„„,C„„ Mean,C„„ SD,ƒ¢C„„,ƒ¢C„„ Mean,ƒ¢C„„ SE,HK Control ƒ¢C„„ Mean,HK Control ƒ¢C„„ SE,ƒ¢ƒ¢C„„,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments
A1,Sample 1,gapdh,UNKNOWN,FAM,NFQ-MGB,,,,17.8693943,17.8693943,,,,,,,,FALSE,0.1,TRUE,3,14,1,
A2,Sample 2,gapdh,UNKNOWN,FAM,NFQ-MGB,,,,18.23608208,18.23608208,,,,,,,,FALSE,0.1,TRUE,3,14,1,
A3,Sample 3,gapdh,UNKNOWN,FAM,NFQ-MGB,,,,17.85905266,17.85905266,,,,,,,,FALSE,0.1,TRUE,3,14,1,
A4,Sample 4,gapdh,UNKNOWN,FAM,NFQ-MGB,,,,17.66450119,17.66450119,,,,,,,,FALSE,0.1,TRUE,3,13,1,
A5,Sample 5,gapdh,UNKNOWN,FAM,NFQ-MGB,,,,17.64163589,17.64163589,,,,,,,,FALSE,0.1,TRUE,3,13,1,
A6,Sample 6,gapdh,UNKNOWN,FAM,NFQ-MGB,,,,17.68768311,17.68768311,,,,,,,,FALSE,0.1,TRUE,3,13,1,
A7,Sample 1,setdb2 754,UNKNOWN,FAM,NFQ-MGB,1,,,24.68487358,24.68487358,,,6.815479279,,,,0,FALSE,0.1,TRUE,3,21,1,
A8,Sample 2,setdb2 754,UNKNOWN,FAM,NFQ-MGB,1.261668444,,,24.71622849,24.71622849,,,6.480146408,,,,-0.33533287,FALSE,0.1,TRUE,3,21,1,
A9,Sample 3,setdb2 754,UNKNOWN,FAM,NFQ-MGB,1.092054367,,,24.54748726,24.54748726,,,6.688434601,,,,-0.127044678,FALSE,0.1,TRUE,3,21,1,
A10,Sample 4,setdb2 754,UNKNOWN,FAM,NFQ-MGB,1.023296356,,,24.44675636,24.44675636,,,6.782255173,,,,-0.033224106,FALSE,0.1,TRUE,3,20,1,
A11,Sample 5,setdb2 754,UNKNOWN,FAM,NFQ-MGB,1.360426784,,,24.0130558,24.0130558,,,6.371419907,,,,-0.444059372,FALSE,0.1,TRUE,3,20,1,
A12,Sample 6,setdb2 754,UNKNOWN,FAM,NFQ-MGB,1.252388597,,,24.17848015,24.17848015,,,6.490797043,,,,-0.324682236,FALSE,0.1,TRUE,3,20,1,
